cityName,cinemaName,movieName,hallName,showTime,showEndTime,language,dim,sellPrice,meetingType,meetingInfo,meetingName,sellTime,showSaleStatus
"北京","北京英嘉国际影城（金源CINITY店）","膝盖骨乐队","4号4K激光CINITY巨幕厅","1745749800000","1745756100000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","内陆惊魂 4K","4号4K激光CINITY巨幕厅","1745757900000","1745764380000","原版","2D","70.0",0,,"","1744603200000",1
"北京","天幕新彩云国际影城（激光巨幕店）","去了解 4K","超级巨幕厅","1744959600000","1744968840000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","绿鱼 4K","超级巨幕厅","1744972200000","1744978800000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","致命著作 4K","超级巨幕厅","1744981200000","1744987380000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","最后一场电影 4K","超级巨幕厅","1745029200000","1745036760000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","最后大浪 4K","超级巨幕厅","1745038800000","1745045160000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","花村 4K","超级巨幕厅","1745047800000","1745055060000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","漫长的告别","超级巨幕厅","1745058600000","1745065320000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","婚礼 4K","超级巨幕厅","1745067600000","1745075100000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","加州分裂 4K","超级巨幕厅","1745114400000","1745120880000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","梵高与提奥","超级巨幕厅","1745123400000","1745131860000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","西北偏北 4K","超级巨幕厅","1745134200000","1745142360000","原版","2D","80.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","内陆惊魂 4K","超级巨幕厅","1745144100000","1745150580000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","遗传厄运","超级巨幕厅","1745152800000","1745160420000","原版","2D","70.0",0,,"","1744603200000",3
"北京","天幕新彩云国际影城（激光巨幕店）","膝盖骨乐队","超级巨幕厅","1745231400000","1745237700000","原版","2D","70.0",0,,"","1744603200000",3
