nameEn,nameTc,nameSc,performanceTime,duration,filmEventTypeId,stockLabel,facilityNameTc
"Eel","河鰻","河鳗",1744783200000,"102 /分鐘",0,1,"PREMIERE Elements 1院"
"Eel","河鰻","河鳗",1744975800000,"102 /分鐘",0,1,"PREMIERE Elements 1院"
"Eight Postcards from Utopia","烏托邦來的八張明信片","乌托邦来的八张明信片",1744443000000,"71 /分鐘",4,4,"PREMIERE Elements 7院"
"Eight Postcards from Utopia","烏托邦來的八張明信片","乌托邦来的八张明信片",1744623900000,"71 /分鐘",4,1,"PREMIERE Elements 7院"
"Ernest Cole: Lost and Found","恩斯特高爾：雙城映照","恩斯特高尔：双城映照",1744347600000,"106 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Ernest Cole: Lost and Found","恩斯特高爾：雙城映照","恩斯特高尔：双城映照",1744542900000,"106 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Everybody Loves Touda","唯獨我不屈在唱","唯独我不屈在唱",1744380000000,"101 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Everybody Loves Touda","唯獨我不屈在唱","唯独我不屈在唱",1744612200000,"101 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Fire of Wind","秋風殘月私語時","秋风残月私语时",1744445700000,"72 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Fire of Wind","秋風殘月私語時","秋风残月私语时",1744777800000,"72 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Ghost Trail","尋兇的幽靈軌跡","寻凶的幽灵轨迹",1744362000000,"105 /分鐘",0,1,"PREMIERE Elements 7院"
"Ghost Trail","尋兇的幽靈軌跡","寻凶的幽灵轨迹",1744544700000,"105 /分鐘",0,1,"PREMIERE Elements 7院"
"Girls on Wire","想飛的女孩","想飞的女孩",1744535700000,"115 /分鐘",0,4,"PREMIERE Elements 1院"
"Girls on Wire","想飛的女孩","想飞的女孩",1744715700000,"115 /分鐘",0,4,"PREMIERE Elements 7院"
"The Girl with the Needle","藏針女子","藏针女子",1744439400000,"115 /分鐘",0,4,"WESTK M+戲院"
"The Girl with the Needle","藏針女子","藏针女子",1744707600000,"115 /分鐘",0,4,"香港藝術中心古天樂電影院"
"Green Wave","前程似錦","前程似锦",1744792200000,"111 /分鐘",0,1,"PREMIERE Elements 1院"
"Green Wave","前程似錦","前程似锦",1745042400000,"111 /分鐘",0,4,"PREMIERE Elements 1院"
"The Guest","邊境異客","边境异客",1744967700000,"78 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Guest","邊境異客","边境异客",1745209800000,"78 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Happiest Day in the Life of Olli Mäki","擂台下最好的時光","擂台下最好的时光",1744725600000,"92 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"The Happiest Day in the Life of Olli Mäki","擂台下最好的時光","擂台下最好的时光",1745065800000,"92 /分鐘",0,1,"WESTK M+戲院"
"Hard Truths","狂媽日記","狂妈日记",1744441200000,"97 /分鐘",0,3,"PREMIERE Elements 1院"
"Hard Truths","狂媽日記","狂妈日记",1745133300000,"97 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Harvest","最後的秋收","最后的秋收",1744378200000,"133 /分鐘",0,1,"PREMIERE Elements 7院"
"Harvest","最後的秋收","最后的秋收",1744614000000,"133 /分鐘",0,1,"PREMIERE Elements 7院"
"Holding Liat","拯救哈馬斯人質","拯救哈马斯人质",1744793100000,"97 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Holding Liat","拯救哈馬斯人質","拯救哈马斯人质",1744975800000,"97 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Honour of the Knights","唐吉訶德","唐吉诃德",1744777800000,"107 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Honour of the Knights","唐吉訶德","唐吉诃德",1745228700000,"107 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Horizon","回首已是度亡身","回首已是度亡身",1744794000000,"125 /分鐘",0,1,"PREMIERE Elements 7院"
"Horizon","回首已是度亡身","回首已是度亡身",1745155800000,"125 /分鐘",0,1,"PREMIERE Elements 7院"
"I'm Still Here","至死方休","至死方休",1744431300000,"136 /分鐘",0,4,"PREMIERE Elements 1院"
"I'm Still Here","至死方休","至死方休",1744981200000,"136 /分鐘",0,1,"香港文化中心大劇院"
"The Invasion","硝煙下的日常","硝烟下的日常",1744353000000,"145 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Invasion","硝煙下的日常","硝烟下的日常",1745062200000,"145 /分鐘",0,1,"香港大會堂劇院"
"Iron + Scénarios / Exposé du film annonce du film Scénario","坦克風景線 + 尚盧未完場／高達如是說","坦克风景线 + 尚卢未完场／高达如是说",1744890300000,"93 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Iron + Scénarios / Exposé du film annonce du film Scénario","坦克風景線 + 尚盧未完場／高達如是說","坦克风景线 + 尚卢未完场／高达如是说",1745143200000,"93 /分鐘",0,4,"WESTK M+戲院"
"Israel Palestine on Swedish TV 1958-1989","三十一年家國：以巴風雲","三十一年家国：以巴风云",1744864200000,"200 /分鐘",0,4,"香港藝術中心古天樂電影院"
"Israel Palestine on Swedish TV 1958-1989","三十一年家國：以巴風雲","三十一年家国：以巴风云",1745130600000,"200 /分鐘",0,1,"香港大會堂劇院"
"Kill the Jockey","失憶造馬王","失忆造马王",1744863300000,"96 /分鐘",0,1,"PREMIERE Elements 1院"
"Kill the Jockey","失憶造馬王","失忆造马王",1745226900000,"96 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Kneecap","嘻哈！膝頭哥天團","嘻哈！膝头哥天团",1744699500000,"105 /分鐘",0,1,"PREMIERE Elements 7院"
"Kneecap","嘻哈！膝頭哥天團","嘻哈！膝头哥天团",1744984800000,"105 /分鐘",0,1,"PREMIERE Elements 1院"
"Kontinental '25","歐陸慈航2025","欧陆慈航2025",1744449300000,"109 /分鐘",0,4,"PREMIERE Elements 7院"
"Kontinental '25","歐陸慈航2025","欧陆慈航2025",1744630200000,"109 /分鐘",0,4,"PREMIERE Elements 7院"
"The Land of Morning Calm","晨謐之境","晨谧之境",1745069400000,"113 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"The Land of Morning Calm","晨謐之境","晨谧之境",1745217000000,"113 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Liberté","極慾森林","极欲森林",1744691400000,"132 /分鐘",4,3,"英皇戲院 尖沙咀 iSQUARE 3院"
"Liberté","極慾森林","极欲森林",1745050500000,"132 /分鐘",4,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Limonov: The Ballad of Eddie","流亡作家的搖滾詩篇","流亡作家的摇滚诗篇",1744290900000,"138 /分鐘",4,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Limonov: The Ballad of Eddie","流亡作家的搖滾詩篇","流亡作家的摇滚诗篇",1744457400000,"138 /分鐘",4,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Little, Big and Far","物換星移天地人","物换星移天地人",1744551000000,"122 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Little, Big and Far","物換星移天地人","物换星移天地人",1744777800000,"122 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Love","性愛夢之談情","性爱梦之谈情",1744975800000,"119 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Love","性愛夢之談情","性爱梦之谈情",1745242200000,"119 /分鐘",0,4,"PREMIERE Elements 1院"
"The Lovers on the Bridge","新橋之戀","新桥之恋",1744631100000,"125 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
