group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF经典-4K 修复,23134,死之棘（4K）,THE STING OF DEATH (4K),6月14日,周六,20:40,,115分钟,兰心大戏院,观众厅,小栗康平,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23201,流浪者 (4K),AWARA (4K),6月14日,周六,13:00,,176分钟,和平影都,杜比全景声厅,拉兹·卡普尔,印度,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22893,异邦人：无皇刃谭 (4K),SWORD OF THE STRANGER (4K),6月14日,周六,18:30,,102分钟,天山电影院-宛平剧院影城,1号厅,安藤真裕,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22231,家有囍事（修复加长版）(4K),"ALL'S WELL, ENDS WELL  (4K)",6月14日,周六,13:00,,106分钟,曹杨影城,1号4K激光厅,高志森,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22232,金玉满堂 (4K),THE CHINESE FEAST (4K),6月14日,周六,15:30,,107分钟,曹杨影城,1号4K激光厅,徐克,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22772,扶桑花女孩 (4K),HULA GIRLS (4K),6月14日,周六,15:30,,121分钟,沪北电影院,1号厅,李相日,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,24663,夜 (4K),THE NIGHT (4K),6月14日,周六,18:00,,123分钟,艺海剧院,大剧场,米开朗基罗·安东尼奥尼,"意大利,法国",4K,黑白,普通场,N/A
SIFF经典-4K 修复,23936,柔肤 (4K),THE SOFT SKIN (4K),6月14日,周六,15:30,,118分钟,黄浦剧场,中剧场,弗朗索瓦·特吕弗,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23904,柔肤 (4K),THE SOFT SKIN (4K),6月15日,周日,20:40,,118分钟,CMG融媒影城,8号厅（杜比全景声CINITY）,弗朗索瓦·特吕弗,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22011,扶桑花女孩 (4K),HULA GIRLS (4K),6月15日,周日,13:00,,121分钟,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,李相日,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,22012,禁忌的游戏 (4K),FORIBIDDEN GAMES (4K),6月15日,周日,15:30,,87分钟,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,雷内·克莱芒,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22167,牧马人 (4K),THE HERDSMAN (4K),6月15日,周日,20:40,,99分钟,上海影城SHO,3号厅CINITY,谢晋,中国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23137,家有囍事（修复加长版）(4K),"ALL'S WELL, ENDS WELL  (4K)",6月15日,周日,13:00,,106分钟,兰心大戏院,观众厅,高志森,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23138,金玉满堂 (4K),THE CHINESE FEAST (4K),6月15日,周日,15:30,,107分钟,兰心大戏院,观众厅,徐克,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23209,小河马雨果 (4K),HUGO THE HIPPO (4K),6月15日,周日,18:30,,91分钟,和平影都,杜比全景声厅,"比尔·费根鲍姆, 约瑟夫·杰梅斯","匈牙利,美国",4K,彩色,普通场,N/A
SIFF经典-4K 修复,24645,流浪者 (4K),AWARA (4K),6月15日,周日,14:00,,176分钟,寰映影城（久光中心店）,3号厅,拉兹·卡普尔,印度,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22778,夜 (4K),THE NIGHT (4K),6月15日,周日,15:30,,123分钟,沪北电影院,1号厅,米开朗基罗·安东尼奥尼,"意大利,法国",4K,黑白,普通场,N/A
SIFF经典-4K 修复,23939,琳达！琳达！琳达！(4K),LINDA LINDA LINDA (4K),6月15日,周日,15:30,,114分钟,黄浦剧场,中剧场,山下敦弘,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,22016,柔肤 (4K),THE SOFT SKIN (4K),6月16日,周一,15:30,,118分钟,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,弗朗索瓦·特吕弗,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,21915,日落大道 (4K),SUNSET BOULEVARD (4K),6月16日,周一,18:30,,110分钟,上海影城SHO,1号厅杜比剧场,比利·怀尔德,美国,4K,黑白,普通场,N/A
SIFF经典-4K 修复,23275,家有囍事（修复加长版）(4K),"ALL'S WELL, ENDS WELL  (4K)",6月16日,周一,18:30,,106分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,高志森,中国香港,4K,N/A,普通场,N/A
